# x1	x2
0.636506	-3.45488
0.657233	-3.46906
0.677918	-3.48318
0.698563	-3.49725
0.719165	-3.51126
0.739727	-3.52522
0.760248	-3.53911
0.780727	-3.55296
0.801166	-3.56675
0.821563	-3.58048
0.84192	-3.59416
0.862236	-3.60778
0.882512	-3.62135
0.902747	-3.63486
0.922941	-3.64832
0.943096	-3.66173
0.963209	-3.67508
0.983283	-3.68838
1.00332	-3.70163
1.02331	-3.71482
1.04326	-3.72796
1.06318	-3.74105
1.08305	-3.75409
1.10288	-3.76707
1.12268	-3.78
1.14243	-3.79288
1.16215	-3.80571
1.18182	-3.81849
1.20146	-3.83122
1.22106	-3.84389
1.24062	-3.85652
1.26013	-3.86909
1.27961	-3.88161
1.29905	-3.89409
1.31846	-3.90651
1.33782	-3.91888
1.35714	-3.93121
1.37643	-3.94348
1.39568	-3.95571
1.41489	-3.96789
1.43406	-3.98002
1.45319	-3.9921
1.47228	-4.00413
1.49134	-4.01611
1.51035	-4.02805
1.52933	-4.03993
1.54827	-4.05177
1.56718	-4.06357
1.58604	-4.07531
1.60487	-4.08701
1.62366	-4.09866
1.64241	-4.11027
1.66113	-4.12183
1.67981	-4.13334
1.69845	-4.14481
1.71705	-4.15623
1.73562	-4.1676
1.75415	-4.17893
1.77264	-4.19022
1.79109	-4.20146
1.80951	-4.21265
1.82789	-4.2238
1.84623	-4.2349
1.86454	-4.24596
1.88281	-4.25698
1.90105	-4.26795
1.91925	-4.27888
1.93741	-4.28977
1.95553	-4.30061
1.97362	-4.3114
1.99167	-4.32216
2.00969	-4.33287
2.02767	-4.34354
2.04562	-4.35416
2.06352	-4.36475
2.0814	-4.37529
2.09923	-4.38579
2.11704	-4.39624
2.1348	-4.40666
2.15253	-4.41703
2.17023	-4.42736
2.18789	-4.43765
2.20551	-4.4479
2.2231	-4.45811
2.24065	-4.46828
2.25817	-4.47841
2.27566	-4.48849
2.29311	-4.49854
2.31052	-4.50855
2.3279	-4.51851
2.34524	-4.52844
2.36255	-4.53832
2.37983	-4.54817
2.39707	-4.55798
2.41427	-4.56775
2.43144	-4.57747
2.44858	-4.58716
2.46568	-4.59682
2.48275	-4.60643
2.49979	-4.616
2.51679	-4.62554
2.53375	-4.63504
2.55069	-4.6445
2.56759	-4.65392
2.58445	-4.6633
2.60128	-4.67265
2.61808	-4.68196
2.63484	-4.69123
2.65157	-4.70047
2.66827	-4.70966
2.68493	-4.71883
2.70156	-4.72795
2.71816	-4.73704
2.73472	-4.74609
2.75125	-4.75511
2.76775	-4.76409
2.78422	-4.77303
2.80065	-4.78194
2.81705	-4.79081
2.83341	-4.79965
2.84975	-4.80845
2.86605	-4.81721
2.88231	-4.82595
2.89855	-4.83464
2.91475	-4.8433
2.93092	-4.85193
2.94706	-4.86052
2.96317	-4.86908
2.97924	-4.8776
2.99528	-4.88609
3.01129	-4.89455
3.02727	-4.90297
3.04321	-4.91136
3.05913	-4.91971
3.07501	-4.92803
3.09086	-4.93632
3.10668	-4.94458
3.12246	-4.9528
3.13822	-4.96099
3.15394	-4.96914
3.16964	-4.97727
3.1853	-4.98536
3.20093	-4.99342
3.21652	-5.00144
3.23209	-5.00944
3.24763	-5.0174
3.26313	-5.02533
3.2786	-5.03323
3.29405	-5.0411
3.30946	-5.04893
3.32484	-5.05674
3.34019	-5.06451
3.35551	-5.07225
3.3708	-5.07996
3.38606	-5.08764
3.40129	-5.09529
3.41648	-5.10291
3.43165	-5.1105
3.44679	-5.11806
3.46189	-5.12558
3.47697	-5.13308
3.49202	-5.14055
3.50703	-5.14799
3.52202	-5.15539
3.53697	-5.16277
3.5519	-5.17012
3.5668	-5.17744
3.58166	-5.18473
3.5965	-5.19199
3.61131	-5.19923
3.62608	-5.20643
3.64083	-5.2136
3.65555	-5.22075
3.67024	-5.22787
3.6849	-5.23495
3.69953	-5.24201
3.71413	-5.24905
3.7287	-5.25605
3.74324	-5.26303
3.75776	-5.26997
3.77224	-5.27689
3.7867	-5.28379
3.80112	-5.29065
3.81552	-5.29749
3.82989	-5.3043
3.84423	-5.31108
3.85854	-5.31784
3.87282	-5.32457
3.88708	-5.33127
3.90131	-5.33794
